"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"27,1";"27,3";"26,9";"78,0";"79,0";"77,0";"23,0";"23,1";"22,7";"1009,5";"1009,5";"1008,9";"1,7";"79,0";"5,1";"";"0,0"
"01/01/2019";"0100";"27,2";"27,3";"27,1";"77,0";"79,0";"77,0";"22,9";"23,1";"22,9";"1009,6";"1009,8";"1009,5";"2,1";"85,0";"4,7";"";"0,0"
"01/01/2019";"0200";"27,1";"27,3";"26,9";"78,0";"79,0";"77,0";"23,0";"23,1";"22,7";"1009,7";"1009,8";"1009,6";"1,9";"91,0";"4,7";"";"0,0"
"01/01/2019";"0300";"26,9";"27,2";"26,9";"78,0";"78,0";"77,0";"22,8";"23,0";"22,7";"1009,0";"1009,7";"1009,0";"1,6";"102,0";"6,0";"";"0,0"
"01/01/2019";"0400";"26,6";"27,0";"26,5";"80,0";"81,0";"78,0";"23,0";"23,0";"22,8";"1008,5";"1009,0";"1008,5";"1,7";"105,0";"4,5";"";"0,0"
"01/01/2019";"0500";"26,7";"26,8";"26,6";"80,0";"81,0";"79,0";"22,9";"23,1";"22,8";"1008,3";"1008,5";"1008,3";"1,7";"101,0";"4,7";"";"0,0"
"01/01/2019";"0600";"26,4";"26,7";"26,4";"80,0";"81,0";"80,0";"22,7";"23,0";"22,6";"1008,6";"1008,6";"1008,3";"1,6";"112,0";"4,5";"";"0,0"
"01/01/2019";"0700";"25,7";"26,5";"25,7";"84,0";"84,0";"80,0";"22,7";"22,8";"22,5";"1008,9";"1008,9";"1008,6";"0,4";"144,0";"3,6";"";"0,0"
"01/01/2019";"0800";"25,6";"26,1";"25,6";"84,0";"84,0";"83,0";"22,7";"23,1";"22,6";"1009,7";"1009,7";"1008,9";"0,7";"194,0";"1,9";"";"0,0"
"01/01/2019";"0900";"25,6";"25,6";"25,3";"85,0";"86,0";"84,0";"22,9";"22,9";"22,6";"1010,3";"1010,3";"1009,7";"0,7";"150,0";"2,5";"6,60";"0,0"
